first_name,last_name,middle_name,about,image,status
Jane,Smith,,"Award-winning fiction author with over 20 published novels. Known for her compelling character development and intricate plotlines that explore the human condition.","https://images.unsplash.com/photo-1494790108377-be9c29b29330?w=400&h=400&fit=crop",ACTIVE
Michael,Chen,David,"Business strategist and thought leader in digital transformation. Author of multiple bestsellers on technology and innovation, helping companies navigate the digital age.","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=400&fit=crop",ACTIVE
Sarah,Johnson,,"Celebrity chef and cookbook author known for innovative recipes and fusion cuisine. Has published 12 cookbooks and hosts a popular cooking show.","https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=400&h=400&fit=crop",ACTIVE
David,Williams,,"Master of mystery and suspense with bestselling thriller series. Known for unexpected plot twists and engaging narratives that keep readers on the edge of their seats.","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=400&h=400&fit=crop",ACTIVE
Emily,Rodriguez,Maria,"Life coach and motivational speaker helping millions achieve success. Author of 6 self-help books focused on personal development and goal achievement.","https://images.unsplash.com/photo-1487412720507-e7ab37603c6f?w=400&h=400&fit=crop",ACTIVE
James,Anderson,,"Science fiction writer exploring futuristic concepts and alternative realities. Winner of multiple Hugo and Nebula awards for groundbreaking speculative fiction.","https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=400&h=400&fit=crop",ACTIVE
Patricia,Martinez,,"Historical fiction novelist specializing in medieval and Renaissance periods. Known for meticulous research and vivid storytelling that brings history to life.","https://images.unsplash.com/photo-1534528741775-53994a69daeb?w=400&h=400&fit=crop",ACTIVE
Robert,Taylor,,"Poet and literary critic with a focus on contemporary American poetry. Published 8 poetry collections and numerous critical essays on modern literature.","https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=400&h=400&fit=crop",ACTIVE
Lisa,Wilson,,"Children's book author and illustrator creating magical worlds for young readers. Winner of the Caldecott Medal and author of over 30 beloved children's books.","https://images.unsplash.com/photo-1531123897727-8f129e1688ce?w=400&h=400&fit=crop",ACTIVE
Christopher,Brown,,"Biographer and non-fiction writer specializing in political and social history. Author of acclaimed biographies of influential historical figures.","https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=400&h=400&fit=crop",ACTIVE
