title,genres,image,synopsis,status
The Art of Modern Fiction,"Fiction,Literary Fiction","https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400&h=600&fit=crop","A captivating exploration of contemporary storytelling techniques and narrative structures in modern literature.",ACTIVE
Digital Transformation Guide,"Business,Technology","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=600&fit=crop","Essential strategies for navigating the digital age and transforming traditional businesses into digital-first organizations.",ACTIVE
Culinary Adventures,"Cookbook,Food & Drink","https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=600&fit=crop","Journey through flavors and cultures from around the world with innovative recipes and cooking techniques.",ACTIVE
Mystery of the Lost City,"Mystery,Thriller","https://images.unsplash.com/photo-1532012197267-da84d127e765?w=400&h=600&fit=crop","An ancient secret hidden in the depths of an abandoned city leads to a thrilling adventure filled with danger and discovery.",ACTIVE
The Science of Success,"Self-Help,Personal Development","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=600&fit=crop","Evidence-based strategies for achieving personal and professional success through science-backed methods.",ACTIVE
Beyond the Stars,"Science Fiction,Adventure","https://images.unsplash.com/photo-1446776653964-20c1d3a81b06?w=400&h=600&fit=crop","A space exploration epic following a crew's journey to the farthest reaches of the galaxy in search of new worlds.",ACTIVE
The Renaissance Court,"Historical Fiction,Romance","https://images.unsplash.com/photo-1532012197267-da84d127e765?w=400&h=600&fit=crop","A tale of intrigue, romance, and political maneuvering in the opulent courts of Renaissance Italy.",ACTIVE
Shadows in the Night,"Horror,Thriller","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=600&fit=crop","A psychological horror story about a small town plagued by mysterious disappearances and unexplained phenomena.",ACTIVE
The Entrepreneur's Playbook,"Business,Self-Help","https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400&h=600&fit=crop","Practical advice and real-world strategies for building and scaling successful businesses from the ground up.",ACTIVE
Whispers of the Past,"Mystery,Historical Fiction","https://images.unsplash.com/photo-1532012197267-da84d127e765?w=400&h=600&fit=crop","A genealogist uncovers family secrets spanning generations while investigating a century-old mystery.",ACTIVE
The Mind's Eye,"Philosophy,Psychology","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=600&fit=crop","An exploration of consciousness, perception, and the nature of reality through philosophical and scientific lenses.",ACTIVE
Dragon's Legacy,"Fantasy,Adventure","https://images.unsplash.com/photo-1446776653964-20c1d3a81b06?w=400&h=600&fit=crop","In a world where dragons once ruled, a young mage must uncover ancient secrets to prevent an impending war.",ACTIVE
Hearts Entwined,"Romance,Contemporary Fiction","https://images.unsplash.com/photo-1512820790803-83ca734da794?w=400&h=600&fit=crop","A modern love story about two people from different worlds who find connection despite their differences.",ACTIVE
The Great War Chronicles,"History,Biography","https://images.unsplash.com/photo-1532012197267-da84d127e765?w=400&h=600&fit=crop","A comprehensive account of World War I through the eyes of soldiers, politicians, and civilians on all sides.",ACTIVE
Verses of the Soul,"Poetry,Literature","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=600&fit=crop","A collection of contemporary poetry exploring themes of love, loss, hope, and the human experience.",ACTIVE
