name,description,status
Fiction,"Literary works of imagination, including novels, short stories, and novellas that explore human experiences and emotions.",ACTIVE
Mystery,"Stories centered around solving a puzzle, crime, or unexplained event, keeping readers engaged with suspense and intrigue.",ACTIVE
Science Fiction,"Speculative fiction exploring futuristic concepts, advanced technology, space exploration, and alternative realities.",ACTIVE
Business,"Books focused on entrepreneurship, management, finance, and professional development for career advancement.",ACTIVE
Self-Help,"Personal development books offering guidance, strategies, and insights for improving various aspects of life.",ACTIVE
Cookbook,"Collections of recipes, cooking techniques, and culinary knowledge for home cooks and professional chefs.",ACTIVE
Biography,"Non-fiction works chronicling the lives and achievements of notable individuals throughout history.",ACTIVE
History,"Scholarly and popular works examining past events, cultures, and civilizations to understand human development.",ACTIVE
Romance,"Stories focused on romantic relationships and emotional connections between characters.",ACTIVE
Thriller,"Fast-paced narratives filled with tension, danger, and high-stakes situations that keep readers engaged.",ACTIVE
Fantasy,"Imaginative stories featuring magical elements, mythical creatures, and fantastical worlds beyond reality.",ACTIVE
Horror,"Tales designed to evoke fear, dread, and unease through supernatural or psychological elements.",ACTIVE
Poetry,"Literary works expressing emotions, ideas, and experiences through verse, rhythm, and imagery.",ACTIVE
Philosophy,"Explorations of fundamental questions about existence, knowledge, values, reason, and reality.",ACTIVE
Education,"Textbooks, guides, and resources designed to facilitate learning and knowledge acquisition.",ACTIVE
